Day,Weekday,MorningOT1,MorningOT2,MorningOT3,MorningNT1,MorningNT2,MorningNT3,EveningOT1,EveningOT2,EveningOT3,EveningNT1,EveningNT2,EveningNT3
Advent Sunday,,Isaiah 1:1–20,,,John 3:1–21,1 Thessalonians 4:13–5:11,,Isaiah 2,Isaiah 1:18–end,,Matthew 24:1–28,Revelation 14:13–15:4,
Advent Sunday,Monday,Isaiah 3:1–15,,,Mark 1:1–20,,,Isaiah 4:2–end,,,James 1,,
Advent Sunday,Tuesday,Isaiah 5:1–17,,,Mark 1:21–end,,,Isaiah 5:18–end,,,James 2:1–13,,
Advent Sunday,Wednesday,Isaiah 6,,,Mark 2:1–22,,,Isaiah 8:16–9:7,,,James 2:14–end,,
Advent Sunday,Thursday,Isaiah 9:8–10:4,,,Mark 2:23–3:12,,,Isaiah 10:5–23,,,James 3,,
Advent Sunday,Friday,Isaiah 10:24–11:9,,,Mark 3:13–end,,,Isaiah 11:10–12:end,,,James 4,,
Advent Sunday,Saturday,Isaiah 13:1–14:2,,,Mark 4:1–20,,,Isaiah 14:3–27,,,James 5,,
2nd Sunday in Advent,,Isaiah 5,,,John 5:19–40,2 Peter 3:1–14,,Isaiah 10:33–11:9,Isaiah 11:10–12:end,,Matthew 24:29–end,Revelation 20:1–21:8,
2nd Sunday in Advent,Monday,Isaiah 17,,,Mark 4:21–end,,,Isaiah 18,,,1 Peter 1:1–21,,
2nd Sunday in Advent,Tuesday,Isaiah 19:1–17,,,Mark 5:1–20,,,Isaiah 19:18–end,,,1 Peter 1:22–2:10,,
2nd Sunday in Advent,Wednesday,Isaiah 21:1–12,,,Mark 5:21–end,,,Isaiah 22:1–14,,,1 Peter 2:11–3:7,,
2nd Sunday in Advent,Thursday,Isaiah 24,,,Mark 6:1–13,,,Isaiah 28:1–13,,,1 Peter 3:8–4:6,,
2nd Sunday in Advent,Friday,Isaiah 28:14–end,,,Mark 6:14–29,,,Isaiah 29:1–14,,,1 Peter 4:7–end,,
2nd Sunday in Advent,Saturday,Isaiah 29:15–end,,,Mark 6:30–end,,,Isaiah 30:1–18,,,1 Peter 5,,
3rd Sunday in Advent,,Isaiah 25:1–9,,,Luke 3:1–17,1 Timothy 1:12–2:7,,Isaiah 26,Isaiah 28:1–22,,Matthew 25:1–30,Revelation 21:9–22:5,
3rd Sunday in Advent,Monday,Isaiah 30:19–end,,,Mark 7:1–23,,,Isaiah 31,,,1 John 1:1–2:6,,
3rd Sunday in Advent,Tuesday,Isaiah 38:1–20,,,Mark 7:24–8:10,,,Isaiah 40:1–11,,,1 John 2:7–end,,
3rd Sunday in Advent,Wednesday,Isaiah 40:12–end,,,Mark 8:11–9:1,,,Isaiah 41,,,1 John 3,,
3rd Sunday in Advent,Thursday,Isaiah 42:1–17,,,Mark 9:2–32,,,Isaiah 42:18–43:13,,,1 John 4,,
3rd Sunday in Advent,Friday,Isaiah 43:14–44:5,,,Mark 9:33–end,,,Isaiah 44:6–23,,,1 John 5,,
3rd Sunday in Advent,Saturday,Isaiah 44:24–45:13,,,Mark 10:1–31,,,Isaiah 45:14–end,,,2 John,,
4th Sunday in Advent,,Isaiah 32:1–18,,,Luke 1:26–45,2 Timothy 3:14–4:8,,Isaiah 33:2–22,Isaiah 35,,Matthew 25:31–end,Revelation 22:6–end,
4th Sunday in Advent,Monday,Isaiah 46,,,Mark 10:32–end,,,Isaiah 47,,,3 John,,
4th Sunday in Advent,Tuesday,Isaiah 48,,,Mark 11:1–26,,,Isaiah 50:4–10,,,Jude,,
4th Sunday in Advent,Wednesday,Isaiah 51:1–16,,,Mark 11:27–12:12,,,Isaiah 51:17–52:12,,,2 Peter 1,,
4th Sunday in Advent,Thursday,Isaiah 52:13–53:end,,,Mark 12:13–34,,,Isaiah 54,,,2 Peter 2,,
4th Sunday in Advent,Friday,Isaiah 56:1–8,,,Mark 12:35–13:13,,,Isaiah 57:15–end,,,2 Peter 3,,
4th Sunday in Advent,Saturday,Isaiah 59,,,Mark 13:14–end,,,,,,,,
Christmas Eve,,,,,,,,Zechariah 2:10–end,,,Titus 2:11–3:7,,
Christmas Day,,Isaiah 6:2–7,,,Luke 2:1–20,,,Isaiah 7:10–14,,,1 John 4:7–end,,
St Stephen,,Genesis 4:1–10,,,Acts 6,,,2 Chronicles 24:15–22,,,Acts 7:54–8:4,,
St John Evangelist,,Exodus 33:9–19,,,John 13:21–35,,,Isaiah 6:1–8,,,1 John 5:1–12,,
Innocents' Day,,Jeremiah 31:1–17,,,Matthew 18:1–10,,,Isaiah 49:14–25,,,Mark 10:13–16,,
Sunday after Christmas Day,,Isaiah 40:1–11,,,Luke 2:22–40,Colossians 1:1–20,,Isaiah 40:12–end,Isaiah 41:1–20,,John 10:1–16,Philippians 2:1–11,
December 29,,Isaiah 55,,,Luke 12:1–21,,,Isaiah 60:1–12,,,Colossians 2:6–17,,
December 30,,Isaiah 60:13–end,,,Luke 12:22–34,,,Isaiah 61,,,Colossians 3:1–17,,
December 31,,Isaiah 62,,,Luke 12:35–48,,,Deuteronomy 10:12–11:1,,,Luke 21:25–36,,
Circumcision,,Genesis 17:1–13,,,Romans 2:17–end,,,Deuteronomy 30,,,Romans 13,,
2nd Sunday after Christmas,,Isaiah 42:1–16,,,Matthew 6:19–end,Ephesians 1,,Isaiah 43:1–13,Isaiah 43:14–44:5,,Matthew 7:13–27,,
January 2,,Isaiah 63:1–6,,,Matthew 1:18–end,,,Isaiah 63:7–end,,,1 Thessalonians 1,,
January 3,,Isaiah 64,,,Matthew 2,,,Isaiah 65:1–16,,,1 Thessalonians 2:1–16,,
January 4,,Isaiah 65:17–end,,,Matthew 3:1–4:11,,,Isaiah 66:1–9,,,1 Thessalonians 2:17–3:end,,
January 5,,Isaiah 66:10–end,,,Matthew 4:12–5:16,,,Isaiah 49:1–13,,,Romans 15:8–21,,
Epiphany,,Isaiah 60,,,Luke 3:15–22,,,Isaiah 61,,,John 2:1–11,,
Epiphany,Monday,Hosea 2:14–end,,,Matthew 5:17–end,,,Hosea 4:1–11,,,1 Thessalonians 4:1–12,,
Epiphany,Tuesday,Hosea 5:8–6:6,,,Matthew 6:1–18,,,Hosea 8,,,1 Thessalonians 4:13–5:11,,
Epiphany,Wednesday,Hosea 9,,,Matthew 6:19–end,,,Hosea 10,,,1 Thessalonians 4:12–end,,
Epiphany,Thursday,Hosea 11,,,Matthew 7,,,Hosea 12,,,2 Thessalonians 1,,
Epiphany,Friday,Hosea 13:1–14,,,Matthew 8:1–17,,,Hosea 14,,,2 Thessalonians 2,,
Epiphany,Saturday,Joel 1,,,Matthew 8:18–end,,,Joel 2:1–14,,,2 Thessalonians 3,,
1st Sunday after Epiphany,,Isaiah 44:6–end,,,John 1:19–34,Ephesians 2,,Isaiah 45,Isaiah 48,,John 4:1–42,Colossians 1:21–2:7,
1st Sunday after Epiphany,Monday,Joel 2:15–end,,,Matthew 9:1–17,,,Joel 3,,,Galatians 1,,
1st Sunday after Epiphany,Tuesday,Amos 1,,,Matthew 9:18–34,,,Amos 2,,,Galatians 2,,
1st Sunday after Epiphany,Wednesday,Amos 3,,,Matthew 9:35–10:23,,,Amos 4,,,Galatians 3,,
1st Sunday after Epiphany,Thursday,Amos 5,,,Matthew 10:24–end,,,Amos 6,,,Galatians 4:1–5:1,,
1st Sunday after Epiphany,Friday,Amos 7,,,Matthew 11,,,Amos 8,,,Galatians 5:2–end,,
1st Sunday after Epiphany,Saturday,Amos 9,,,Matthew 12:1–21,,,Obadiah,,,Galatians 6,,
2nd Sunday after Epiphany,,Isaiah 49:1–13,,,Luke 4:16–30,James 1,,Isaiah 49:14–end,Isaiah 50:4–10,,John 12:20–end,1 Thessalonians 1:1–2:12,
2nd Sunday after Epiphany,Monday,Jonah 1 & 2,,,Matthew 12:22–end,,,Jonah 3 & 4,,,1 Corinthians 1:1–25,,
2nd Sunday after Epiphany,Tuesday,Micah 1,,,Matthew 13:1–23,,,Micah 2,,,1 Corinthians 1:26–2:end,,
2nd Sunday after Epiphany,Wednesday,Micah 3,,,Matthew 13:24–43,,,Micah 4:1–5:1,,,1 Corinthians 3,,
